2894;187 
2603;4 
9362;27 
5798-S;5 
5457;36 
9407-S;5 
9408-S;5 
7190;99 
4123;13 
9408;5 
2811;11 
2812;10 
5471;5 
6422;32 
2896;57 
5568;4 
9703;8 
5796-S;1 
6759;6 
6089;88 
6090;110 
6943;41 
9056;55 
9811;15 
0268;98 
6747;4 
9844;42 
7186;4 
7105;42 
2602;2 
5785-S;25 
7106;4 
0200;78 
0201;86 
9429;79 
9431;77 
9918;26 
9984;52 
7108;39 
9072;56 
6473;40 
6429;32 
0325;26 
6965;75 
9321-S;65 
8405;4 
7185;1 
7210;78 
7211;84 
6435;27 
6746;1 
5636;46 
9069;88 
0280;2 
9054;13 
6384;9 
6386;9 
6955;6 
5553;2 
7208;86 
7209;88 
9068;14 
0279;4 
5799-S;6 
6332;3 
9809;7 
4205-S;46 
5786-S;2 
9067;9 
9907;58 
9908;8 
6474;42 
7009;36 
0282;22 
2072;5 
2861;59 
6281;45 
4528;49 
6061;2 
6587;33 
9305-S;3 
5132-S;52 
6575;67 
2045;14 
2046;28 
2047;22 
2048;14 
2049;17 
2859;4 
8406;1 
6415-S;4 
9097;2 
2624-S;38 
2853;2 
6437;11 
9058;22 
2064;1 
0277;3 
0331;14 
4296-S;59 
4297-S;59 
4298-S;55 
4299-S;59 
4538;58 
4540;38 
7066;12 
9635;22 
6462;34 
4530;36 
6477;7 
6748;24 
5315;1 
9058-S;1 
6774;3 
6775;2 
6748;1 
9451;40 
6387;2 
9917;5 
2810;10 
6087;2 
2623;123 
2639-S;5 
2863;41 
2877;47 
2879;44 
9336-S;40 
9910;2 
0209;57 
0210;2 
0212;11 
0213;38 
0214;3 
5637;6 
5723;3 
6478;7 
6866;43 
6465;54 
6466;32 
6469;13 
4300-S;65 
4305-S;56 
4306-S;63 
4307-S;59 
4541;29 
9324-S;5 
6748;1 
9334-S;81 
9335-S;29 
1600;90 
9909;22 
6775-S;1 
6789-S;1 
6783-S;2 
7011;25 
9111;48 
9914;9 
1855;2 
6595;86 
9911;34 
4553;45 
6496;22 
6756;72 
6756;8 
6756;14 
6786-S;10 
6787-S;18 
9412-S;10 
4321-S;59 
4322-S;61 
4323-S;61 
4324-S;60 
4532;49 
4543;35 
6753;1 
6789;17 
6796;35 
6829;78 
4539;56 
1009;6 
1009-S;5 
6597;80 
6783;1 
3126;91 
3128;41 
3129;14 
1016-S;4 
3811;8 
0205;38 
0206;2 
6594;1 
2854;1 
6592;45 
0208;1 
9440;39 
9441;37 
9442;2 
9443;2 
9409;10 
9410;12 
9411;13 
9412;31 
2628-S;33 
6439;46 
6377;19 
6379;17 
6380;17 
6381;12 
6470;64 
2816;21 
5175;1 
6876;56 
9989;15 
9990;15 
6755;5 
2034;1 
9107;48 
6370;7 
6372;2 
6373;4 
6039;1 
6375;7 
2057;36 
9060;2 
6784;1 
6374;1 
4534;27 
5728-S;11 
7441;12 
9454;34 
2890;3 
9098;1 
0236;65 
0238;39 
4325-S;37 
4326-S;37 
4327-S;37 
4328-S;37 
4529;43 
4544;31 
5800-S;5 
6268;5 
6278;54 
6279;65 
6280;94 
2864;30 
4308-S;37 
4309-S;37 
4310-S;37 
4319-S;37 
4542;56 
2831;5 
6371;2 
6749;1 
9615;25 
9113;2 
1878;6 
6004;119 
6563;11 
5716;32 
5801-S;2 
2855;21 
0254;9 
5737-S;1 
2888;2 
9452;2 
2865;3 
9849;4 
0256;4 
2051;42 
2052;24 
2055;36 
2056;25 
4801;57 
6059;7 
2631;1 
9310-S;2 
9349;7 
9855;67 
2866;4 
2869;3 
6676;7 
4554;25 
1015;1 
7007;2 
9746;31 
2796;58 
2838;1 
5679-S;4 
7041;56 
7042;34 
1880;4 
2054;31 
2892;2 
1854;115 
5222;2 
9808;19 
2870;3 
9055;42 
5726-S;1 
5369;92 
2798;1 
0251;3 
5124;1 
2889;3 
5397;10 
5225;2 
9776;2 
5699;1 
6505;45 
7043;37 
7044;43 
9351;59 
3460;2 
9099;4 
9753;11 
4533;37 
6503;74 
4240-S;25 
4241-S;25 
4242-S;27 
4243-S;25 
6378;12 
2795;47 
2633-S;13 
2626-S;1 
3860;3 
1858;95 
2822;2 
4232-S;24 
4233-S;25 
4234-S;25 
4235-S;25 
2887;1 
2872;24 
2873;9 
2874;11 
4329-S;37 
4330-S;37 
