1739;Кастрюля FANTASY 20х11,5см / 3,5л со стальной крышкой 3-слойная. Материал: медь, алюминий, нерж.сталь 18/10. Цвет корпуса: медный. Цвет ручек: черный;10836,00;руб.;шт;Новинки;508 
1740;Кастрюля FANTASY 24х13,5 см / 6л со стальной крышкой 3-слойная. Материал: медь, алюминий, нерж.сталь 18/10. Цвет корпуса: медный. Цвет ручки: черный;14220,00;руб.;шт;Новинки;530 
1756;Ковш FANTASY 18х9см / 2л со стальной крышкой 3-слойный. Материал: медь, алюминий, нерж.сталь 18/10. Цвет корпуса: медный. Цвет ручек: черный;8172,00;руб.;шт;Новинки;510 
1757;Кастрюля FANTASY 18х9см / 2л со стальной крышкой 3-слойная. Материал: медь, алюминий, нерж.сталь 18/10. Цвет корпуса: медный. Цвет ручек: черный;9167,00;руб.;шт;Новинки;512 
1758;Сковорода FANTASY 20х4,5см 3-слойная. Материал: медь, алюминий, нерж.сталь 18/10. Цвет корпуса: медный. Цвет ручки: черный;6587,00;руб.;шт;Новинки;533 
1759;Сковорода FANTASY 24х5см 3-слойная. Материал: медь, алюминий, нерж.сталь 18/10. Цвет корпуса: медный. Цвет ручки: черный;7416,00;руб.;шт;Новинки;515 
1766;Ковш LILAS 16х7,5см/1,5л со стеклянной крышкой, с капсульным дном. Материал: нерж. сталь 18/10. Толщина корпуса: 0,6мм. Толщина дна: 3,5мм. Цвет корпуса: фиолетовый;4586,00;руб.;шт;Новинки;800 
1767;Кастрюля LILAS 20х10см/3,1л со стеклянной крышкой, с капсульным дном. Материал: нерж. сталь 18/10. Толщина корпуса: 0,6мм. Толщина дна: 3,5мм. Цвет корпуса: фиолетовый;6048,00;руб.;шт;Новинки;799 
1768;Кастрюля LILAS 24х12см/5,4л со стеклянной крышкой, с капсульным дном. Материал: нерж. сталь 18/10. Толщина корпуса: 0,6мм. Толщина дна: 3,5мм. Цвет корпуса: фиолетовый;7285,00;руб.;шт;Новинки;833 
1769;Сковорода LILAS 24х5,5см с капсульным дном. Материал: нерж. сталь 18/10. Толщина корпуса: 0,6мм. Толщина дна: 3,5мм. Цвет корпуса: фиолетовый;4505,00;руб.;шт;Новинки;1 324 
1770;Сковорода LILAS 28х7см с капсульным дном. Материал: нерж. сталь 18/10. Толщина корпуса: 0,6мм. Толщина дна: 3,5мм. Цвет корпуса: фиолетовый;5563,00;руб.;шт;Новинки;843 
