Артикул;pname;"prevprice";;;"curprice";;;cengroup;"ostatki";nds?;CURRENCY
0268;Воронка BONITA складная силиконовая, диаметр 11см. Цвет: розовый;371,00;руб.;шт;186,00;руб.;шт;Акция -50%;50;N;RUB
0270;Ланч-бокс RAMIRA складной с тремя отделениями с герметичной крышкой 24х17х7см. Цвет: синий. Материал: силикон;1785,00;руб.;шт;893,00;руб.;шт;Акция -50%;50;N;RUB
0271;Набор RAMIRA из 4 складных ланч-боксов с герметичными крышками, 350мл, 540мл, 800мл, 1200мл. Цвета в комплекте: желтый, фиолетовый, зеленый, красный. Материал: силикон желтый, фиолетовый, зеленый, красный. Материал: силикон;3374,00;руб.;шт;1687,00;руб.;шт;Акция -50%;50;N;RUB
0276;Лопатка OCTAVA 24х5,3х1,3 см Материал: Силикон, ручка TPR 4 цвета;371,00;руб.;шт;260,00;руб.;шт;Акция -30%;50;N;RUB
0277;Шумовка CENTURION серый цвет ручки Материал: PA66;567,00;руб.;шт;284,00;руб.;шт;Акция -50%;50;N;RUB
0280;Ложка CENTURION серый цвет ручки Материал: PA66;491,00;руб.;шт;246,00;руб.;шт;Акция -50%;50;N;RUB
0281;Половник CENTURION серый цвет ручки Материал: PA66;567,00;руб.;шт;284,00;руб.;шт;Акция -50%;50;N;RUB
0282;Ложка для спагетти CENTURION серый цвет ручки Материал: PA66;533,00;руб.;шт;267,00;руб.;шт;Акция -50%;50;N;RUB
0283;Лопатка с прорезями CONGRESS 31,5х17,1х3,5 см серый цвет ручки Материал: PA66;578,00;руб.;шт;289,00;руб.;шт;Акция -50%;50;N;RUB
0286;Ланч-бокс герметичный круглый с одним контейнером и складывающейся ручкой. Материал: нержавеющая сталь, пластик. Цвет: зеленый;;руб.;шт;446,00;руб.;шт;Новинки;50;N;RUB
0289;Ланч-бокс герметичный в форме эллипса с одним контейнером и складывающейся ручкой. Материал: нержавеющая сталь, пластик. Цвет: синий;961,00;руб.;шт;799,00;руб.;шт;Распродажа;50;N;RUB
0290;Ланч-бокс герметичный в форме эллипса с одним контейнером и складывающейся ручкой. Материал: нержавеющая сталь, пластик. Цвет: зеленый;961,00;руб.;шт;799,00;руб.;шт;Распродажа;50;N;RUB
0291;Ланч-бокс герметичный в форме эллипса с двумя контейнерами и складывающейся ручкой. Материал: нержавеющая сталь, пластик. Цвет: синий;;руб.;шт;1386,00;руб.;шт;Новинки;50;N;RUB
0292;Ланч-бокс герметичный в форме эллипса с двумя контейнерами и складывающейся ручкой. Материал: нержавеющая сталь, пластик. Цвет: зеленый;;руб.;шт;1386,00;руб.;шт;Новинки;50;N;RUB
0293;Ланч-бокс герметичный в форме эллипса с тремя контейнерами и складывающейся ручкой. Материал: нержавеющая сталь, пластик. Цвет: синий;;руб.;шт;1951,00;руб.;шт;Новинки;50;N;RUB
